date,customer_id,location,business_sector,age,income,credit_score,savings_ratio,loan_amount,debt_to_income,credit_utilization,payment_punctuality,customer_feedback,default_history,sentiment,risk_category,customer_segment,feedback_topic
2025-10-09,CUST-2025091,"Washington, US",Technology,47,144658.11,603,0.089,20137.27,0.22,0.77,89.57,High fees,0,Negative,Medium Risk,Mass Market,Financial/Pricing
2025-07-18,CUST-2025092,"Missouri, US",Technology,34,54893.62,646,0.203,91554.38,0.042,0.6,83.35,Excellent rates,0,Positive,Medium Risk,Conservative Saver,Financial/Pricing
2025-03-07,CUST-2025093,"Tennessee, US",Healthcare,61,57892.64,627,0.199,25153.44,0.148,0.12,82.28,High fees,0,Negative,Medium Risk,Mass Market,Financial/Pricing
2025-11-06,CUST-2025094,"Nevada, US",Technology,39,160786.21,636,0.092,32940.55,0.032,0.37,89.54,Process was slow,0,Negative,Medium Risk,Mass Market,Digital/Operations
2025-02-23,CUST-2025095,"California, US",Finance,41,209526.92,632,0.15,37179.64,0.167,0.31,90.47,Quick approval,0,Positive,Medium Risk,Elite/HNW,Digital/Operations
2025-08-22,CUST-2025096,"Massachusetts, US",Finance,43,62561.29,766,0.163,33118.51,0.128,0.54,81.04,Process was slow,0,Negative,Medium Risk,Mass Market,Digital/Operations
2025-05-02,CUST-2025097,"Hawaii, US",Technology,50,78864.33,684,0.025,16406.92,0.012,0.87,92.27,Excellent rates,0,Positive,Medium Risk,Mass Market,Financial/Pricing
2025-03-24,CUST-2025098,"California, US",Healthcare,45,78815.98,808,0.179,6853.95,0.058,0.35,85.71,Excellent rates,0,Positive,Low Risk,Mass Market,Financial/Pricing
2025-04-03,CUST-2025099,"Idaho, US",Services,46,56541.48,622,0.021,29274.13,0.17,0.83,92.64,Quick approval,1,Positive,Medium Risk,Mass Market,Digital/Operations
2025-12-23,CUST-2025100,"West Virginia, US",Healthcare,59,87819.8,669,0.122,2696.58,0.102,0.11,88.64,Excellent rates,0,Positive,Medium Risk,Mass Market,Financial/Pricing
2025-04-20,CUST-2025101,"Wyoming, US",Retail,47,42440.93,740,0.028,57982.74,0.274,0.29,84.31,Process was slow,0,Negative,Low Risk,Mass Market,Digital/Operations
2025-06-06,CUST-2025102,"Ohio, US",Manufacturing,32,27605.81,740,0.046,6636.05,0.202,0.42,92.67,Process was slow,0,Negative,Low Risk,Mass Market,Digital/Operations
2025-04-16,CUST-2025103,"Missouri, US",Healthcare,62,76879.05,671,0.106,21214.17,0.046,0.22,93.61,Neutral: No feedback provided.,0,Neutral,Medium Risk,Mass Market,Financial/Pricing
2025-12-11,CUST-2025104,"Idaho, US",Manufacturing,23,25000.0,673,0.106,87500.0,0.216,0.41,80.72,Neutral: No feedback provided.,0,Neutral,Medium Risk,Emerging Gen-Z,Financial/Pricing
2025-03-24,CUST-2025105,"Washington, US",Technology,44,31663.23,691,0.079,110821.3,0.143,0.16,85.86,Standard banking,0,Neutral,Medium Risk,Mass Market,General Service
2025-08-25,CUST-2025106,"Mississippi, US",Education,41,44016.6,677,0.209,101771.25,0.062,0.31,95.3,Standard banking,0,Neutral,Medium Risk,Conservative Saver,General Service
2025-01-08,CUST-2025107,"Connecticut, US",Healthcare,52,55868.12,698,0.044,22144.06,0.101,0.36,81.19,Process was slow,0,Negative,Medium Risk,Mass Market,Digital/Operations
2025-07-17,CUST-2025108,"New Mexico, US",Real Estate,27,81085.14,559,0.1,172572.12,0.117,0.39,90.3,Standard banking,1,Neutral,High Risk,Emerging Gen-Z,General Service
2025-02-21,CUST-2025109,"Iowa, US",Healthcare,42,107736.1,724,0.075,82664.33,0.073,0.25,89.48,Standard banking,0,Neutral,Low Risk,Mass Market,General Service
2025-05-15,CUST-2025110,"Oregon, US",Education,49,52018.54,601,0.218,95959.22,0.065,0.22,92.64,High fees,0,Negative,Medium Risk,Conservative Saver,Financial/Pricing
2025-09-20,CUST-2025111,"Illinois, US",Technology,45,135297.35,683,0.096,499.18,0.171,0.76,86.55,Process was slow,0,Negative,Medium Risk,Mass Market,Digital/Operations
2025-04-20,CUST-2025112,"Montana, US",Manufacturing,46,50227.6,727,0.076,84.67,0.12,0.71,87.65,Quick approval,0,Positive,Medium Risk,Mass Market,Digital/Operations
2025-04-04,CUST-2025113,"Washington, US",Real Estate,61,71277.17,629,0.148,1043.99,0.367,0.75,93.73,Standard banking,0,Neutral,Medium Risk,Mass Market,General Service
2025-04-23,CUST-2025114,"South Dakota, US",Education,35,33718.42,740,0.171,72733.32,0.104,0.38,88.94,Standard banking,0,Neutral,Low Risk,Mass Market,General Service
2025-10-16,CUST-2025115,"Rhode Island, US",Technology,50,94654.09,581,0.164,39737.12,0.17,0.77,82.88,Quick approval,0,Positive,High Risk,Mass Market,Digital/Operations
2025-10-05,CUST-2025116,"Oregon, US",Manufacturing,43,94749.95,779,0.127,317.43,0.161,0.11,84.24,Neutral: No feedback provided.,0,Neutral,Low Risk,Mass Market,Financial/Pricing
2025-03-23,CUST-2025117,"South Dakota, US",Real Estate,52,65626.18,701,0.03,26881.38,0.113,0.24,86.99,Process was slow,0,Negative,Medium Risk,Mass Market,Digital/Operations
2025-04-24,CUST-2025118,"Georgia, US",Finance,40,118946.34,688,0.17,13559.33,0.245,0.38,95.08,Excellent rates,0,Positive,Medium Risk,Mass Market,Financial/Pricing
2025-02-21,CUST-2025119,"Oregon, US",Technology,44,62482.11,621,0.137,33347.64,0.114,0.17,86.37,Quick approval,0,Positive,Medium Risk,Mass Market,Digital/Operations
2025-09-02,CUST-2025120,"Alaska, US",Services,53,103538.67,659,0.066,5342.01,0.152,0.37,92.58,Standard banking,0,Neutral,Medium Risk,Mass Market,General Service
2025-08-08,CUST-2025121,"Kansas, US",Services,45,46651.02,713,0.098,66530.9,0.224,0.19,89.35,Process was slow,0,Negative,Medium Risk,Mass Market,Digital/Operations
2025-03-11,CUST-2025122,"Arkansas, US",Manufacturing,53,68914.26,579,0.087,38780.41,0.193,0.47,82.37,Standard banking,0,Neutral,High Risk,Mass Market,General Service
2025-03-13,CUST-2025123,"Alaska, US",Education,35,43072.4,719,0.154,100989.86,0.039,0.11,94.74,Excellent rates,0,Positive,Medium Risk,Mass Market,Financial/Pricing
2025-05-21,CUST-2025124,"Nebraska, US",Real Estate,31,49677.95,758,0.088,52249.86,0.093,0.4,83.45,High fees,0,Negative,Low Risk,Mass Market,Financial/Pricing
2025-11-02,CUST-2025125,"Ohio, US",Technology,40,78457.52,769,0.01,79276.99,0.086,0.19,83.1,Excellent rates,0,Positive,Low Risk,Mass Market,Financial/Pricing
2025-10-11,CUST-2025126,"Wyoming, US",Healthcare,53,126655.7,790,0.128,28678.94,0.103,0.26,91.29,Excellent rates,0,Positive,Low Risk,Mass Market,Financial/Pricing
2025-08-23,CUST-2025127,"Idaho, US",Technology,43,118775.59,583,0.177,16393.07,0.324,0.7,91.33,Process was slow,0,Negative,High Risk,Mass Market,Digital/Operations
2025-11-27,CUST-2025128,"New York, US",Services,21,36611.38,688,0.01,89966.39,0.251,0.82,83.7,High fees,0,Negative,Medium Risk,Emerging Gen-Z,Financial/Pricing
2025-10-19,CUST-2025129,"Wisconsin, US",Finance,35,86617.04,744,0.218,14877.86,0.343,0.28,85.0,Standard banking,0,Neutral,Low Risk,Conservative Saver,General Service
2025-08-02,CUST-2025130,"North Dakota, US",Retail,62,42546.36,740,0.087,100279.3,0.108,0.89,87.48,Quick approval,0,Positive,Medium Risk,Mass Market,Digital/Operations
2025-04-03,CUST-2025131,"Missouri, US",Technology,74,133415.49,723,0.047,25329.11,0.019,0.58,88.97,Quick approval,0,Positive,Medium Risk,Mass Market,Digital/Operations
2025-07-04,CUST-2025132,"Alabama, US",Real Estate,18,78772.98,658,0.076,47528.88,0.106,0.33,84.43,Process was slow,0,Negative,Medium Risk,Emerging Gen-Z,Digital/Operations
2025-12-10,CUST-2025133,"Idaho, US",Finance,41,93740.17,583,0.155,42462.48,0.085,0.45,88.19,Excellent rates,0,Positive,High Risk,Mass Market,Financial/Pricing
2025-01-09,CUST-2025134,"Alaska, US",Manufacturing,57,48749.37,689,0.098,95360.39,0.14,0.22,85.85,Quick approval,0,Positive,Medium Risk,Mass Market,Digital/Operations
2025-01-13,CUST-2025135,"Kansas, US",Retail,47,37825.78,722,0.091,94.77,0.251,0.86,88.44,Standard banking,0,Neutral,Medium Risk,Mass Market,General Service
2025-01-12,CUST-2025136,"Iowa, US",Technology,34,105533.55,662,0.141,127916.74,0.248,0.81,88.69,Standard banking,0,Neutral,Medium Risk,Mass Market,General Service
2025-02-06,CUST-2025137,"Massachusetts, US",Manufacturing,53,66360.02,719,0.078,34215.31,0.132,0.15,85.81,Standard banking,0,Neutral,Medium Risk,Mass Market,General Service
2025-09-21,CUST-2025138,"Nebraska, US",Real Estate,54,39668.5,694,0.024,11544.48,0.021,0.13,84.55,Neutral: No feedback provided.,0,Neutral,Medium Risk,Mass Market,Financial/Pricing
2025-07-02,CUST-2025139,"Alabama, US",Education,27,52559.85,668,0.165,6922.98,0.132,0.24,82.58,Excellent rates,0,Positive,Medium Risk,Emerging Gen-Z,Financial/Pricing
2025-05-08,CUST-2025140,"New Mexico, US",Education,34,44905.64,599,0.275,157169.75,0.082,0.54,87.26,Neutral: No feedback provided.,0,Neutral,High Risk,Conservative Saver,Financial/Pricing
2025-11-10,CUST-2025141,"Alabama, US",Education,31,47623.21,573,0.125,7158.07,0.147,0.29,96.42,Quick approval,0,Positive,High Risk,Mass Market,Digital/Operations
2025-04-17,CUST-2025142,"South Carolina, US",Real Estate,28,40177.22,566,0.079,35081.71,0.05,0.37,82.89,Excellent rates,0,Positive,High Risk,Emerging Gen-Z,Financial/Pricing
2025-12-21,CUST-2025143,"Connecticut, US",Real Estate,47,87786.18,680,0.016,19197.11,0.192,0.95,92.2,Excellent rates,0,Positive,Medium Risk,Mass Market,Financial/Pricing
2025-05-07,CUST-2025144,"Indiana, US",Finance,40,228463.23,649,0.124,29042.89,0.124,0.64,82.46,Standard banking,0,Neutral,Medium Risk,Elite/HNW,General Service
2025-04-09,CUST-2025145,"Missouri, US",Education,27,57753.18,677,0.236,178319.35,0.148,0.44,87.3,Excellent rates,0,Positive,Medium Risk,Emerging Gen-Z,Financial/Pricing
2025-03-21,CUST-2025146,"Pennsylvania, US",Technology,45,59836.74,674,0.101,79086.05,0.281,0.45,92.2,High fees,0,Negative,Medium Risk,Mass Market,Financial/Pricing
2025-11-05,CUST-2025147,"Missouri, US",Finance,44,84537.95,845,0.199,117399.33,0.066,0.28,85.88,High fees,0,Negative,Low Risk,Mass Market,Financial/Pricing
2025-03-19,CUST-2025148,"Minnesota, US",Technology,37,130214.0,669,0.089,45096.22,0.169,0.33,89.81,Neutral: No feedback provided.,0,Neutral,Medium Risk,Mass Market,Financial/Pricing
2025-03-14,CUST-2025149,"Montana, US",Education,44,33787.64,553,0.253,3598.95,0.16,0.21,93.55,High fees,1,Negative,High Risk,Conservative Saver,Financial/Pricing
